./posts.c:23: ERROR:TRAILING_WHITESPACE: trailing whitespace
./posts.c:220: ERROR:TRAILING_WHITESPACE: trailing whitespace
./posts.c:227: ERROR:TRAILING_WHITESPACE: trailing whitespace
./utils_feed.h:3: WARNING:MISSING_EOF_NEWLINE: adding a line without newline at end of file
./friends.c:46: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:57: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:68: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:159: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:178: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:206: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:256: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:263: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:270: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:276: WARNING:BRACES: braces {} are not necessary for single statement blocks
./friends.c:282: WARNING:BRACES: braces {} are not necessary for single statement blocks
./social_media.c:67: CHECK:LINE_SPACING: Please don't use multiple blank lines
